"","iid","id","gender","wave","round","order","partner","pid","match","int_corr","samerace","met_o","age","field_cd","tuition","race","imprace","imprelig","income","goal","date","go_out","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","expnum","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","goal.2","goal.1","goal.6","goal.3","goal.4","goal.5","date.7","date.5","date.3","date.4","date.6","date.1","date.2","race.4","race.2","race.6","race.3","race.1","go_out.1","go_out.4","go_out.2","go_out.3","go_out.7","go_out.5","go_out.6","field_cd.1","field_cd.2","field_cd.13","field_cd.8","field_cd.5","field_cd.9","field_cd.3","field_cd.11","field_cd.12","field_cd.4","field_cd.7","field_cd.6","field_cd.10","field_cd.14","field_cd.16","field_cd.15","field_cd.17","field_cd.18","career_c.6","career_c.1","career_c.9","career_c.2","career_c.7","career_c.10","career_c.5","career_c.3","career_c.4","career_c.14","career_c.11","career_c.8","career_c.15","career_c.12","career_c.17","career_c.13","career_c.16","activityAvg","raterCount","rateeCount","tvsportsAdj","exerciseAdj","diningAdj","museumsAdj","artAdj","hikingAdj","gamingAdj","clubbingAdj","readingAdj","tvAdj","theaterAdj","moviesAdj","concertsAdj","musicAdj","shoppingAdj","yogaAdj","raterDecSum","raterAttrSum","raterSincSum","raterIntelSum","raterFunSum","raterAmbSum","raterSharSum","raterLikeSum","raterProbSum","rateeDecSum","rateeAttrSum","rateeSincSum","rateeIntelSum","rateeFunSum","rateeAmbSum","rateeSharSum","rateeLikeSum","rateeProbSum","decRaterAvg","decRateeAvg","decRaterAvgExc","decRateeAvgExc","decRaterAdj","decRateeAdj","attrRaterAvg","attrRateeAvg","attrRaterAvgExc","attrRateeAvgExc","attrRaterAdj","attrRateeAdj","sincRaterAvg","sincRateeAvg","sincRaterAvgExc","sincRateeAvgExc","sincRaterAdj","sincRateeAdj","intelRaterAvg","intelRateeAvg","intelRaterAvgExc","intelRateeAvgExc","intelRaterAdj","intelRateeAdj","funRaterAvg","funRateeAvg","funRaterAvgExc","funRateeAvgExc","funRaterAdj","funRateeAdj","ambRaterAvg","ambRateeAvg","ambRaterAvgExc","ambRateeAvgExc","ambRaterAdj","ambRateeAdj","sharRaterAvg","sharRateeAvg","sharRaterAvgExc","sharRateeAvgExc","sharRaterAdj","sharRateeAdj","likeRaterAvg","likeRateeAvg","likeRaterAvgExc","likeRateeAvgExc","likeRaterAdj","likeRateeAdj","probRaterAvg","probRateeAvg","probRaterAvgExc","probRateeAvgExc","probRaterAdj","probRateeAdj"
"1488",204,11,0,9,20,17,13,226,0,0.53,1,1,26,8,25,2,8,6,52,3,5,1,7,10,5,9,9,10,10,3,1,9,8,4,5,5,3,8,10,7,4,4,19.61,15.69,17.65,15.69,17.65,13.73,31.25,9.38,9.38,31.25,3.13,15.63,9,5,9,10,1,9,9,8,9,7,8,8,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.24,20,20,-1.24,2.76,2.76,3.76,3.76,-3.24,-5.24,2.76,1.76,-2.24,-1.24,-1.24,-3.24,1.76,3.76,0.76,2,114,145,162,126,141,121,138,130,13,164,148,150,149,152,120,142,110,0.1,0.65,0.05,0.63,0.95,0.37,5.7,8.2,5.53,8.16,3.47,0.84,7.25,7.4,7.16,7.32,1.84,1.68,8.1,7.5,8.11,7.47,-0.11,0.53,6.3,7.45,6.16,7.37,2.84,1.63,7.05,7.6,7.05,7.63,-0.05,-0.63,6.05,6,5.95,5.89,2.05,2.11,6.9,7.1,6.84,7.05,1.16,0.95,6.5,5.5,6.63,5.58,-2.63,-1.58
"1489",205,12,0,9,20,13,13,226,0,0.36,1,2,23,10,25,2,5,5,42,1,7,1,2,8,2,6,8,6,6,7,2,6,9,3,3,8,5,6,3,5,5,4,15.38,17.31,19.23,19.23,11.54,17.31,21.43,11.9,11.9,19.05,19.05,16.67,7,8,9,10,0,9,7,6,4,9,2,6,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,20,-3,1,3,1,1,2,-3,1,4,-2,-2,3,0,1,-2,0,4,126,154,143,112,147,102,118,98,13,164,148,150,149,152,120,142,110,0.2,0.65,0.21,0.68,-0.21,-0.68,6.3,8.2,6.16,8.16,2.84,0.84,7.7,7.4,7.74,7.42,-0.74,-0.42,7.15,7.5,7.21,7.58,-1.21,-1.58,5.6,7.45,5.68,7.63,-1.68,-3.63,7.35,7.6,7.26,7.53,1.74,1.47,5.1,6,5.26,6.21,-3.26,-4.21,5.9,7.1,5.89,7.16,0.11,-1.16,4.9,5.5,5.05,5.68,-3.05,-3.68
"1490",206,13,0,9,20,16,13,226,0,0.03,0,2,31,8,25,1,2,2,42,1,5,1,9,5,5,5,9,7,7,7,7,9,9,5,7,7,7,9,5,7,6,4,14.58,16.67,20.83,18.75,16.67,12.5,18,16,18,20,16,12,8,8,8,8,1,7,7,7,7,7,7,7,5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59,20,20,-1.59,-1.59,2.41,0.41,0.41,0.41,0.41,2.41,2.41,-1.59,0.41,0.41,0.41,2.41,-1.59,0.41,17,126,153,157,143,146,129,139,131,13,164,148,150,149,152,120,142,110,0.85,0.65,0.84,0.63,0.16,0.37,6.3,8.2,6.26,8.26,0.74,-1.26,7.65,7.4,7.68,7.42,-0.68,-0.42,7.85,7.5,7.89,7.53,-0.89,-0.53,7.15,7.45,7.16,7.47,-0.16,-0.47,7.3,7.6,7.32,7.63,-0.32,-0.63,6.45,6,6.42,5.95,0.58,1.05,6.95,7.1,6.95,7.11,0.05,-0.11,6.55,5.5,6.63,5.53,-1.63,-0.53
"1491",207,14,0,9,20,4,13,226,1,0.46,1,2,23,10,25,2,9,5,42,1,3,1,1,10,8,8,7,5,5,2,3,4,3,7,7,6,5,7,9,6,6,4,17.31,13.46,17.31,19.23,19.23,13.46,18.37,16.33,16.33,18.37,16.33,14.29,8,8,10,8,1,10,9,9,10,10,10,10,10,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,20,20,2.59,2.59,1.59,-0.41,-0.41,-3.41,-2.41,-1.41,-2.41,1.59,1.59,0.59,-0.41,1.59,3.59,0.59,3,111,140,142,125,124,108,114,157,13,164,148,150,149,152,120,142,110,0.15,0.65,0.11,0.63,0.89,0.37,5.55,8.2,5.32,8.11,4.68,1.89,7,7.4,6.89,7.32,2.11,1.68,7.1,7.5,7,7.42,2,1.58,6.25,7.45,6.05,7.32,3.95,2.68,6.2,7.6,6,7.47,4,2.53,5.4,6,5.16,5.79,4.84,4.21,5.7,7.1,5.47,6.95,4.53,3.05,7.85,5.5,7.74,5.26,2.26,4.74
"1492",208,15,0,9,20,15,13,226,1,0.22,0,2,25,10,25,1,2,1,62,2,4,3,7,9,7,7,9,10,10,10,5,8,8,5,7,9,10,10,9,8,5,4,11.54,13.46,19.23,19.23,19.23,17.31,23.26,16.28,13.95,16.28,13.95,16.28,9,10,10,10,1,9,9,9,9,9,9,9,5,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.76,20,20,-0.76,-0.76,1.24,2.24,2.24,2.24,-2.76,0.24,0.24,-2.76,-0.76,1.24,2.24,2.24,1.24,0.24,11,114,146,152,141,144,135,129,105,13,164,148,150,149,152,120,142,110,0.55,0.65,0.53,0.63,0.47,0.37,5.7,8.2,5.53,8.16,3.47,0.84,7.3,7.4,7.21,7.32,1.79,1.68,7.6,7.5,7.53,7.42,1.47,1.58,7.05,7.45,6.95,7.37,2.05,1.63,7.2,7.6,7.11,7.53,1.89,1.47,6.75,6,6.63,5.84,2.37,3.16,6.45,7.1,6.32,7,2.68,2,5.25,5.5,5.26,5.53,-0.26,-0.53
"1493",210,17,0,9,20,1,13,226,0,0.26,1,2,29,10,25,2,10,4,46,2,6,3,2,9,3,9,8,9,9,9,1,2,9,5,7,7,7,7,5,1,5,4,20,15.56,20,15.56,11.11,17.78,25,22.22,13.89,13.89,2.78,22.22,8,8,6,9,1,10,10,8,10,7,6,9,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76,20,20,-2.76,3.24,2.24,3.24,3.24,3.24,-4.76,-3.76,3.24,-0.76,1.24,1.24,1.24,1.24,-0.76,-4.76,5,85,97,85,69,91,76,65,64,13,164,148,150,149,152,120,142,110,0.25,0.65,0.21,0.63,0.79,0.37,4.25,8.2,3.95,8.11,6.05,1.89,4.85,7.4,4.58,7.26,5.42,2.74,4.25,7.5,4.05,7.47,3.95,0.53,3.45,7.45,3.11,7.32,6.89,2.68,4.55,7.6,4.42,7.63,2.58,-0.63,3.8,6,3.68,6,2.32,0,3.25,7.1,2.95,7,6.05,2,3.2,5.5,3.11,5.53,1.89,-0.53
"1494",211,18,0,9,20,7,13,226,0,-0.13,1,2,28,13,25,2,9,1,42,2,4,1,9,9,8,9,10,9,9,5,8,1,9,9,10,10,9,7,10,7,5,4,16.36,16.36,18.18,18.18,16.36,14.55,16,16,18,20,14,16,7,9,9,9,1,10,8,8,9,9,6,9,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65,20,20,0.35,1.35,2.35,1.35,1.35,-2.65,0.35,-6.65,1.35,1.35,2.35,2.35,1.35,-0.65,2.35,-0.65,4,115,170,181,134,183,125,125,134,13,164,148,150,149,152,120,142,110,0.2,0.65,0.16,0.63,0.84,0.37,5.75,8.2,5.53,8.11,4.47,1.89,8.5,7.4,8.53,7.37,-0.53,0.63,9.05,7.5,9.11,7.47,-1.11,0.53,6.7,7.45,6.58,7.37,2.42,1.63,9.15,7.6,9.16,7.53,-0.16,1.47,6.25,6,6.26,6,-0.26,0,6.25,7.1,6.11,7,2.89,2,6.7,5.5,6.68,5.42,0.32,1.58
"1495",212,19,0,9,20,10,13,226,1,0.2,0,2,27,8,25,3,3,6,45,1,5,2,7,8,5,8,8,8,8,8,6,9,8,8,8,8,6,7,8,3,5,4,14.29,18.37,18.37,16.33,18.37,14.29,22.5,15,15,22.5,12.5,12.5,7,9,7,8,1,8,7,8,7,8,6,7,7,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.82,20,20,-1.82,1.18,1.18,1.18,1.18,1.18,-0.82,2.18,1.18,1.18,1.18,1.18,-0.82,0.18,1.18,-3.82,12,132,145,159,136,157,120,129,131,13,164,148,150,149,152,120,142,110,0.6,0.65,0.58,0.63,0.42,0.37,6.6,8.2,6.53,8.21,1.47,-0.21,7.25,7.4,7.26,7.42,-0.26,-0.42,7.95,7.5,7.95,7.47,0.05,0.53,6.8,7.45,6.79,7.47,0.21,-0.47,7.85,7.6,7.84,7.58,0.16,0.42,6,6,6,6,0,0,6.45,7.1,6.42,7.11,0.58,-0.11,6.55,5.5,6.53,5.42,0.47,1.58
"1496",213,20,0,9,20,8,13,226,0,0.34,0,2,25,13,25,3,9,10,42,2,4,2,7,8,7,9,8,8,7,6,7,7,8,7,10,10,8,9,8,5,7,4,15.52,17.24,17.24,17.24,17.24,15.52,18.18,18.18,16.36,18.18,14.55,14.55,8,10,9,9,1,9,8,10,8,9,7,8,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.29,20,20,-0.29,1.71,0.71,0.71,-0.29,-1.29,-0.29,-0.29,0.71,-0.29,2.71,2.71,0.71,1.71,0.71,-2.29,3,140,164,176,147,160,138,135,122,13,164,148,150,149,152,120,142,110,0.15,0.65,0.11,0.63,0.89,0.37,7,8.2,6.89,8.16,2.11,0.84,8.2,7.4,8.21,7.37,-0.21,0.63,8.8,7.5,8.74,7.37,1.26,2.63,7.35,7.45,7.32,7.42,0.68,0.58,8,7.6,7.95,7.53,1.05,1.47,6.9,6,6.89,5.95,0.11,1.05,6.75,7.1,6.68,7.05,1.32,0.95,6.1,5.5,6.11,5.47,-0.11,0.53
"1497",194,1,0,9,20,19,14,227,0,0.57,1,2,24,3,25,2,9,9,65,3,3,2,3,8,6,6,9,6,6,4,8,7,9,9,6,9,5,7,9,4,7,4,16,16,20,16,18,14,20,12,16,20,14,18,9,10,8,10,1,10,8,7,7,9,6,7,5,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.47,20,20,-0.47,-0.47,2.53,-0.47,-0.47,-2.47,1.53,0.53,2.53,2.53,-0.47,2.53,-1.47,0.53,2.53,-2.47,11,141,182,183,146,176,131,129,114,7,131,138,136,131,141,105,123,113,0.55,0.35,0.53,0.32,0.47,0.68,7.05,6.55,6.89,6.37,3.11,3.63,9.1,6.9,9.16,6.84,-1.16,1.16,9.15,6.8,9.26,6.79,-2.26,0.21,7.3,6.55,7.32,6.53,-0.32,0.47,8.8,7.05,8.79,6.95,0.21,2.05,6.55,5.25,6.58,5.21,-0.58,0.79,6.45,6.15,6.42,6.11,0.58,0.89,5.7,5.65,5.74,5.68,-0.74,-0.68
"1498",195,2,0,9,20,3,14,227,0,-0.12,1,2,27,10,25,2,3,9,49,1,2,1,2,7,6,9,8,5,5,9,9,8,10,1,3,4,3,6,5,1,8,4,15.38,19.23,19.23,19.23,13.46,13.46,22.73,15.91,18.18,18.18,11.36,13.64,9,8,10,10,0,9,7,7,6,6,6,7,8,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,20,20,0.59,3.59,2.59,-0.41,-0.41,3.59,3.59,2.59,4.59,-4.41,-2.41,-1.41,-2.41,0.59,-0.41,-4.41,6,138,160,176,139,154,129,146,138,7,131,138,136,131,141,105,123,113,0.3,0.35,0.32,0.37,-0.32,-0.37,6.9,6.55,6.79,6.42,2.21,2.58,8,6.9,8.05,6.89,-1.05,0.11,8.8,6.8,8.89,6.79,-1.89,0.21,6.95,6.55,7,6.58,-1,-0.58,7.7,7.05,7.79,7.11,-1.79,-1.11,6.45,5.25,6.47,5.21,-0.47,0.79,7.3,6.15,7.32,6.11,-0.32,0.89,6.9,5.65,6.84,5.53,1.16,2.47
"1499",196,3,0,9,20,2,14,227,0,-0.1,0,2,25,7,25,4,1,6,42,1,1,1,2,3,3,6,7,7,7,8,6,8,6,8,9,9,9,9,7,9,6,4,17.65,17.65,17.65,15.69,15.69,15.69,18.75,18.75,16.67,16.67,14.58,14.58,9,9,9,9,0,5,5,4,2,3,3,3,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,20,20,-3.94,-0.94,0.06,0.06,0.06,1.06,-0.94,1.06,-0.94,1.06,2.06,2.06,2.06,2.06,0.06,2.06,4,67,106,99,83,110,109,73,84,7,131,138,136,131,141,105,123,113,0.2,0.35,0.21,0.37,-0.21,-0.37,3.35,6.55,3.26,6.63,1.74,-1.63,5.3,6.9,5.32,7,-0.32,-2,4.95,6.8,5,6.95,-1,-2.95,4.15,6.55,4.26,6.79,-2.26,-4.79,5.5,7.05,5.63,7.26,-2.63,-4.26,5.45,5.25,5.58,5.37,-2.58,-2.37,3.65,6.15,3.68,6.32,-0.68,-3.32,4.2,5.65,4.16,5.68,0.84,-0.68
"1500",197,4,0,9,20,20,14,227,0,0.46,0,2,24,13,25,6,2,1,53,1,4,3,7,6,1,4,10,8,8,4,7,5,9,6,5,10,8,10,7,3,3,4,14,18,20,18,16,14,23.81,14.29,19.05,16.67,14.29,11.9,7,8,9,9,0,7,7,7,7,7,3,5,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.18,20,20,-5.18,-2.18,3.82,1.82,1.82,-2.18,0.82,-1.18,2.82,-0.18,-1.18,3.82,1.82,3.82,0.82,-3.18,3,142,144,145,138,144,84,97,90,7,131,138,136,131,141,105,123,113,0.15,0.35,0.16,0.37,-0.16,-0.37,7.1,6.55,7.11,6.53,-0.11,0.47,7.2,6.9,7.21,6.89,-0.21,0.11,7.25,6.8,7.26,6.79,-0.26,0.21,6.9,6.55,6.89,6.53,0.11,0.47,7.2,7.05,7.21,7.05,-0.21,-0.05,4.2,5.25,4.26,5.37,-1.26,-2.37,4.85,6.15,4.84,6.21,0.16,-1.21,4.5,5.65,4.53,5.74,-0.53,-1.74
"1501",198,5,0,9,20,11,14,227,0,-0.2,0,1,23,13,25,4,8,5,42,2,2,3,7,6,8,6,9,8,8,9,5,7,4,9,9,9,9,9,10,4,6,4,15.38,19.23,17.31,19.23,9.62,19.23,25.64,17.95,12.82,15.38,15.38,12.82,7,9,7,9,0,5,5,5,5,5,5,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.24,20,20,0.76,-1.24,1.76,0.76,0.76,1.76,-2.24,-0.24,-3.24,1.76,1.76,1.76,1.76,1.76,2.76,-3.24,0,92,98,114,101,100,96,88,75,7,131,138,136,131,141,105,123,113,0,0.35,0,0.37,0,-0.37,4.6,6.55,4.58,6.63,0.42,-1.63,4.9,6.9,4.89,7,0.11,-2,5.7,6.8,5.74,6.89,-0.74,-1.89,5.05,6.55,5.05,6.63,-0.05,-1.63,5,7.05,5,7.16,0,-2.16,4.8,5.25,4.79,5.26,0.21,-0.26,4.4,6.15,4.32,6.16,1.68,-0.16,3.75,5.65,3.74,5.74,0.26,-1.74
"1502",199,6,0,9,20,16,14,227,0,0.65,1,2,30,7,25,2,2,1,32,4,5,3,2,8,3,10,10,10,10,1,1,7,10,4,7,8,3,5,7,1,4,4,17.5,17.5,20,12.5,20,12.5,31.25,15.63,9.38,18.75,9.38,15.63,9,7,7,9,0,4,10,10,6,8,4,7,8,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,20,20,-2.71,4.29,4.29,4.29,4.29,-4.71,-4.71,1.29,4.29,-1.71,1.29,2.29,-2.71,-0.71,1.29,-4.71,7,84,154,158,114,160,80,114,139,7,131,138,136,131,141,105,123,113,0.35,0.35,0.37,0.37,-0.37,-0.37,4.2,6.55,4.21,6.68,-0.21,-2.68,7.7,6.9,7.58,6.74,2.42,3.26,7.9,6.8,7.79,6.63,2.21,3.37,5.7,6.55,5.68,6.58,0.32,-0.58,8,7.05,8,7,0,1,4,5.25,4,5.32,0,-1.32,5.7,6.15,5.63,6.11,1.37,0.89,6.95,5.65,6.89,5.53,1.11,2.47
"1503",200,7,0,9,20,15,14,227,0,-0.02,1,2,25,8,25,2,1,1,35,1,7,2,9,10,3,9,8,7,7,10,3,6,8,1,8,8,9,10,3,4,5,4,13.21,18.87,18.87,16.98,16.98,15.09,17.02,14.89,14.89,19.15,17.02,17.02,8,10,8,8,0,7,8,7,7,7,6,7,5,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,20,20,-3.12,2.88,1.88,0.88,0.88,3.88,-3.12,-0.12,1.88,-5.12,1.88,1.88,2.88,3.88,-3.12,-2.12,3,117,167,158,129,151,116,138,102,7,131,138,136,131,141,105,123,113,0.15,0.35,0.16,0.37,-0.16,-0.37,5.85,6.55,5.79,6.53,1.21,0.47,8.35,6.9,8.37,6.84,-0.37,1.16,7.9,6.8,7.95,6.79,-0.95,0.21,6.45,6.55,6.42,6.53,0.58,0.47,7.55,7.05,7.58,7.05,-0.58,-0.05,5.8,5.25,5.79,5.21,0.21,0.79,6.9,6.15,6.89,6.11,0.11,0.89,5.1,5.65,5.11,5.68,-0.11,-0.68
"1504",201,8,0,9,20,6,14,227,0,0.13,1,2,25,8,25,2,8,8,42,1,4,2,7,8,8,8,8,7,7,7,8,7,7,7,7,7,7,7,7,6,2,4,15.38,17.31,17.31,17.31,17.31,15.38,25.71,17.14,14.29,22.86,8.57,11.43,7,8,9,9,0,6,7,7,7,7,6,6,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.76,20,20,1.24,1.24,1.24,0.24,0.24,0.24,1.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,-0.76,3,102,138,144,109,141,103,106,91,7,131,138,136,131,141,105,123,113,0.15,0.35,0.16,0.37,-0.16,-0.37,5.1,6.55,5.05,6.58,0.95,-0.58,6.9,6.9,6.89,6.89,0.11,0.11,7.2,6.8,7.21,6.79,-0.21,0.21,5.45,6.55,5.37,6.53,1.63,0.47,7.05,7.05,7.05,7.05,-0.05,-0.05,5.15,5.25,5.11,5.21,0.89,0.79,5.3,6.15,5.26,6.16,0.74,-0.16,4.55,5.65,4.53,5.68,0.47,-0.68
"1505",202,9,0,9,20,9,14,227,0,0.46,1,2,22,2,25,2,8,5,40,2,6,2,2,8,8,9,7,6,4,4,1,6,8,7,7,9,6,7,7,1,3,4,15.38,19.23,19.23,19.23,15.38,11.54,21.43,16.67,9.52,21.43,14.29,16.67,7,10,9,10,0,8,7,8,8,9,7,7,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,20,20,2.29,3.29,1.29,0.29,-1.71,-1.71,-4.71,0.29,2.29,1.29,1.29,3.29,0.29,1.29,1.29,-4.71,4,129,170,171,148,164,113,132,95,7,131,138,136,131,141,105,123,113,0.2,0.35,0.21,0.37,-0.21,-0.37,6.45,6.55,6.37,6.47,1.63,1.53,8.5,6.9,8.58,6.89,-1.58,0.11,8.55,6.8,8.58,6.74,-0.58,1.26,7.4,6.55,7.37,6.47,0.63,1.53,8.2,7.05,8.16,6.95,0.84,2.05,5.65,5.25,5.58,5.16,1.42,1.84,6.6,6.15,6.58,6.11,0.42,0.89,4.75,5.65,4.79,5.74,-0.79,-1.74
"1506",203,10,0,9,20,8,14,227,0,0.35,1,2,22,2,25,2,4,10,42,6,6,2,2,3,1,8,6,4,2,2,1,6,7,10,6,8,3,7,9,2,3,4,16,20,18,20,18,8,23.68,18.42,10.53,18.42,13.16,15.79,9,8,9,10,0,8,6,8,7,8,7,6,8,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,20,20,-3.82,3.18,1.18,-0.82,-2.82,-2.82,-3.82,1.18,2.18,5.18,1.18,3.18,-1.82,2.18,4.18,-2.82,0,113,135,165,135,172,111,119,149,7,131,138,136,131,141,105,123,113,0,0.35,0,0.37,0,-0.37,5.65,6.55,5.53,6.47,2.47,1.53,6.75,6.9,6.79,6.95,-0.79,-0.95,8.25,6.8,8.26,6.74,-0.26,1.26,6.75,6.55,6.74,6.53,0.26,0.47,8.6,7.05,8.63,7,-0.63,1,5.55,5.25,5.47,5.16,1.53,1.84,5.95,6.15,5.95,6.16,0.05,-0.16,7.45,5.65,7.42,5.53,0.58,2.47
"1507",204,11,0,9,20,14,14,227,0,0.31,1,1,26,8,25,2,8,6,52,3,5,1,7,10,5,9,9,10,10,3,1,9,8,4,5,5,3,8,10,7,4,4,19.61,15.69,17.65,15.69,17.65,13.73,31.25,9.38,9.38,31.25,3.13,15.63,9,5,9,10,0,7,7,6,6,6,5,8,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.24,20,20,-1.24,2.76,2.76,3.76,3.76,-3.24,-5.24,2.76,1.76,-2.24,-1.24,-1.24,-3.24,1.76,3.76,0.76,2,114,145,162,126,141,121,138,130,7,131,138,136,131,141,105,123,113,0.1,0.35,0.11,0.37,-0.11,-0.37,5.7,6.55,5.63,6.53,1.37,0.47,7.25,6.9,7.26,6.89,-0.26,0.11,8.1,6.8,8.21,6.84,-2.21,-0.84,6.3,6.55,6.32,6.58,-0.32,-0.58,7.05,7.05,7.11,7.11,-1.11,-1.11,6.05,5.25,6.11,5.26,-1.11,-0.26,6.9,6.15,6.84,6.05,1.16,1.95,6.5,5.65,6.58,5.68,-1.58,-0.68
