"","iid","id","gender","wave","round","order","partner","pid","match","int_corr","samerace","met_o","age","field_cd","tuition","race","imprace","imprelig","income","goal","date","go_out","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","expnum","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","goal 2","goal 1","goal 6","goal 3","goal 4","goal 5","date 7","date 5","date 3","date 4","date 6","date 1","date 2","race 4","race 2","race 6","race 3","race 1","go_out 1","go_out 4","go_out 2","go_out 3","go_out 7","go_out 5","go_out 6","field_cd 1","field_cd 2","field_cd 13","field_cd 8","field_cd 5","field_cd 9","field_cd 3","field_cd 11","field_cd 12","field_cd 4","field_cd 7","field_cd 6","field_cd 10","field_cd 14","field_cd 16","field_cd 15","field_cd 17","field_cd 18","career_c 6","career_c 1","career_c 9","career_c 2","career_c 7","career_c 10","career_c 5","career_c 3","career_c 4","career_c 14","career_c 11","career_c 8","career_c 15","career_c 12","career_c 17","career_c 13","career_c 16","activityAvg","raterCount","rateeCount","matchOwnSum","matchPartnerSum","decOwnSum","decPartnerSum","attrOwnSum","attrPartnerSum","sincOwnSum","sincPartnerSum","intelOwnSum","intelPartnerSum","funOwnSum","funPartnerSum","ambOwnSum","ambPartnerSum","sharOwnSum","sharPartnerSum","likeOwnSum","likePartnerSum","probOwnSum","probPartnerSum","metOwnSum","metPartnerSum","metOwnMean","metPartnerMean","metOwnMeanExc","metPartnerMeanExc","tvsportsAdj","exerciseAdj","diningAdj","museumsAdj","artAdj","hikingAdj","gamingAdj","clubbingAdj","readingAdj","tvAdj","theaterAdj","moviesAdj","concertsAdj","musicAdj","shoppingAdj","yogaAdj"
"1012",76,1,0,4,18,5,4,97,0,0.08,1,2,34,6,25,2,5,7,38,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,4,10,10,30,20,10,20,50,10,10,10,10,10,6,6,6,8,1,10,8,10,8,7,6,10,7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,1.89,2,1.88,2,0.76,-0.24,1.76,1.76,1.76,-1.24,-5.24,0.76,0.76,-2.24,1.76,1.76,1.76,0.76,0.76,0.76
"1013",76,1,0,4,18,14,5,98,0,0.24,1,2,34,6,25,2,5,7,38,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,4,10,10,30,20,10,20,50,10,10,10,10,10,6,6,6,8,0,2,10,5,2,7,6,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,1.89,1.89,1.88,1.88,0.76,-0.24,1.76,1.76,1.76,-1.24,-5.24,0.76,0.76,-2.24,1.76,1.76,1.76,0.76,0.76,0.76
"1014",76,1,0,4,18,2,6,99,0,0.71,1,2,34,6,25,2,5,7,38,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,4,10,10,30,20,10,20,50,10,10,10,10,10,6,6,6,8,1,6,8,8,6,8,6,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,1.89,1.83,1.88,1.82,0.76,-0.24,1.76,1.76,1.76,-1.24,-5.24,0.76,0.76,-2.24,1.76,1.76,1.76,0.76,0.76,0.76
"1015",76,1,0,4,18,15,7,100,0,0.51,0,2,34,6,25,2,5,7,38,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,4,10,10,30,20,10,20,50,10,10,10,10,10,6,6,6,8,0,1,10,7,7,7,6,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,1.89,2,1.88,2,0.76,-0.24,1.76,1.76,1.76,-1.24,-5.24,0.76,0.76,-2.24,1.76,1.76,1.76,0.76,0.76,0.76
"1017",76,1,0,4,18,4,9,102,0,0.02,1,2,34,6,25,2,5,7,38,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,4,10,10,30,20,10,20,50,10,10,10,10,10,6,6,6,8,0,1,7,8,1,7,3,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,1.89,1.94,1.88,1.94,0.76,-0.24,1.76,1.76,1.76,-1.24,-5.24,0.76,0.76,-2.24,1.76,1.76,1.76,0.76,0.76,0.76
"1018",76,1,0,4,18,1,10,103,0,-0.05,1,2,34,6,25,2,5,7,38,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,4,10,10,30,20,10,20,50,10,10,10,10,10,6,6,6,8,0,6,7,5,7,10,6,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,1.89,2,1.88,2,0.76,-0.24,1.76,1.76,1.76,-1.24,-5.24,0.76,0.76,-2.24,1.76,1.76,1.76,0.76,0.76,0.76
"1019",76,1,0,4,18,10,11,104,0,0.19,1,2,34,6,25,2,5,7,38,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,4,10,10,30,20,10,20,50,10,10,10,10,10,6,6,6,8,0,2,3,5,5,7,6,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,37,1.89,2.06,1.88,2.06,0.76,-0.24,1.76,1.76,1.76,-1.24,-5.24,0.76,0.76,-2.24,1.76,1.76,1.76,0.76,0.76,0.76
"1020",76,1,0,4,18,13,12,105,1,0.02,0,2,34,6,25,2,5,7,38,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,4,10,10,30,20,10,20,50,10,10,10,10,10,6,6,6,8,1,5,7,8,8,7,6,5,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,1.89,2,1.88,2,0.76,-0.24,1.76,1.76,1.76,-1.24,-5.24,0.76,0.76,-2.24,1.76,1.76,1.76,0.76,0.76,0.76
"1021",76,1,0,4,18,3,13,106,0,0.06,0,2,34,6,25,2,5,7,38,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,4,10,10,30,20,10,20,50,10,10,10,10,10,6,6,6,8,1,4,8,8,6,6,6,5,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,1.89,2,1.88,2,0.76,-0.24,1.76,1.76,1.76,-1.24,-5.24,0.76,0.76,-2.24,1.76,1.76,1.76,0.76,0.76,0.76
"1022",76,1,0,4,18,12,14,107,1,0.36,1,2,34,6,25,2,5,7,38,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,4,10,10,30,20,10,20,50,10,10,10,10,10,6,6,6,8,1,8,6,7,10,7,8,10,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,1.89,2,1.88,2,0.76,-0.24,1.76,1.76,1.76,-1.24,-5.24,0.76,0.76,-2.24,1.76,1.76,1.76,0.76,0.76,0.76
"1023",76,1,0,4,18,16,15,108,0,0.32,1,2,34,6,25,2,5,7,38,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,4,10,10,30,20,10,20,50,10,10,10,10,10,6,6,6,8,1,5,5,5,5,8,8,5,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,1.89,1.94,1.88,1.94,0.76,-0.24,1.76,1.76,1.76,-1.24,-5.24,0.76,0.76,-2.24,1.76,1.76,1.76,0.76,0.76,0.76
"1024",76,1,0,4,18,8,16,109,1,0.63,0,2,34,6,25,2,5,7,38,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,4,10,10,30,20,10,20,50,10,10,10,10,10,6,6,6,8,1,5,5,6,10,7,6,5,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,1.89,2,1.88,2,0.76,-0.24,1.76,1.76,1.76,-1.24,-5.24,0.76,0.76,-2.24,1.76,1.76,1.76,0.76,0.76,0.76
"1025",76,1,0,4,18,7,17,110,1,0.53,1,2,34,6,25,2,5,7,38,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,4,10,10,30,20,10,20,50,10,10,10,10,10,6,6,6,8,1,5,5,6,7,6,6,5,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,1.89,2,1.88,2,0.76,-0.24,1.76,1.76,1.76,-1.24,-5.24,0.76,0.76,-2.24,1.76,1.76,1.76,0.76,0.76,0.76
"1026",76,1,0,4,18,6,18,111,0,0.43,0,2,34,6,25,2,5,7,38,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,4,10,10,30,20,10,20,50,10,10,10,10,10,6,6,6,8,1,2,8,8,7,7,6,5,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,1.89,2,1.88,2,0.76,-0.24,1.76,1.76,1.76,-1.24,-5.24,0.76,0.76,-2.24,1.76,1.76,1.76,0.76,0.76,0.76
"1027",77,2,0,4,18,14,1,94,1,0.56,0,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,1,4,7,8,10,7,7,8,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,2,2,2,2,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1028",77,2,0,4,18,16,2,95,0,-0.2,1,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,0,4,6,6,6,5,7,4,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,2,2,2,2,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1029",77,2,0,4,18,4,3,96,0,0.28,0,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,0,4,6,7,4,6,2,4,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,35,2,1.94,2,1.94,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1030",77,2,0,4,18,10,4,97,1,-0.05,1,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,1,6,5,6,7,6,7,6,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,2,2,2,2,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1031",77,2,0,4,18,1,5,98,1,0.16,1,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,1,8,9,9,6,7,5,8,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,2,1.89,2,1.88,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1032",77,2,0,4,18,7,6,99,1,0.55,1,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,1,10,7,8,7,9,9,10,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,33,2,1.83,2,1.82,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1033",77,2,0,4,18,2,7,100,0,0.45,0,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,0,4,6,6,4,7,6,4,7,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,2,2,2,2,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1034",77,2,0,4,18,5,8,101,0,-0.21,0,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,0,3,5,6,3,7,2,3,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,2,1.89,2,1.88,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1035",77,2,0,4,18,9,9,102,0,0,1,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,1,6,7,6,7,4,6,7,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,35,2,1.94,2,1.94,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1036",77,2,0,4,18,6,10,103,0,0.15,1,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,1,9,7,7,10,8,7,8,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,2,2,2,2,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1037",77,2,0,4,18,15,11,104,0,0.63,1,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,0,6,6,5,5,5,6,4,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,37,2,2.06,2,2.06,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1038",77,2,0,4,18,18,12,105,1,-0.28,0,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,1,7,7,8,10,9,8,9,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,2,2,2,2,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1039",77,2,0,4,18,8,13,106,0,-0.11,0,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,0,5,6,7,5,6,4,4,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,2,2,2,2,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1040",77,2,0,4,18,17,14,107,1,0.63,1,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,1,9,9,9,10,9,10,10,7,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,2,2,2,2,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1041",77,2,0,4,18,3,15,108,0,0.41,1,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,1,9,7,7,9,6,5,8,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,35,2,1.94,2,1.94,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1042",77,2,0,4,18,13,16,109,0,0.56,0,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,0,6,7,7,6,7,7,7,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,2,2,2,2,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1043",77,2,0,4,18,12,17,110,0,0.76,1,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,1,8,9,8,9,9,8,8,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,2,2,2,2,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1044",77,2,0,4,18,11,18,111,0,0.29,0,2,22,11,25,2,2,2,46,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,0,4,6,7,4,5,2,3,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,2,2,2,2,-6,3,2,2,2,1,-4,-1,-1,-1,1,1,3,3,0,2
"1045",78,3,0,4,18,2,1,94,0,0.69,0,2,23,11,25,3,1,4,30,2,7,3,11,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,7,0,10,25,20,10,20,15,40,5,10,20,10,15,3,10,3,8,0,4,2,9,2,10,2,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.06,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,2,2,2,2,-5.06,0.94,0.94,2.94,-1.06,2.94,-5.06,-3.06,2.94,-3.06,2.94,2.94,2.94,0.94,-1.06,3.94
"1046",78,3,0,4,18,4,2,95,0,-0.16,0,2,23,11,25,3,1,4,30,2,7,3,11,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,7,0,10,25,20,10,20,15,40,5,10,20,10,15,3,10,3,8,0,2,4,9,4,9,6,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.06,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,2,2,2,2,-5.06,0.94,0.94,2.94,-1.06,2.94,-5.06,-3.06,2.94,-3.06,2.94,2.94,2.94,0.94,-1.06,3.94
